duration_years,id1,title,id2,title
5,1,Проект1,9,Проект Ы
5,1,Проект1,7,Проект Ы
5,1,Проект1,6,Проект6
5,1,Проект1,5,Проект5
5,1,Проект1,4,Проект4
3,3,Проект3,10,Проект А
3,3,Проект3,8,Проект А
5,4,Проект4,9,Проект Ы
5,4,Проект4,7,Проект Ы
5,4,Проект4,6,Проект6
5,4,Проект4,5,Проект5
5,4,Проект4,1,Проект1
5,5,Проект5,9,Проект Ы
5,5,Проект5,7,Проект Ы
5,5,Проект5,6,Проект6
5,5,Проект5,4,Проект4
5,5,Проект5,1,Проект1
5,6,Проект6,9,Проект Ы
5,6,Проект6,7,Проект Ы
5,6,Проект6,5,Проект5
5,6,Проект6,4,Проект4
5,6,Проект6,1,Проект1
5,7,Проект Ы,9,Проект Ы
5,7,Проект Ы,6,Проект6
5,7,Проект Ы,5,Проект5
5,7,Проект Ы,4,Проект4
5,7,Проект Ы,1,Проект1
3,8,Проект А,10,Проект А
3,8,Проект А,3,Проект3
5,9,Проект Ы,7,Проект Ы
5,9,Проект Ы,6,Проект6
5,9,Проект Ы,5,Проект5
5,9,Проект Ы,4,Проект4
5,9,Проект Ы,1,Проект1
3,10,Проект А,8,Проект А
3,10,Проект А,3,Проект3
